brand,name,addr,time,atm,medicine,wine,lotto,bakery,delivery
cu,M홍제역점,"서울특별시 서대문구 통일로 440-1, 선홍제역 지하(홍제동) 지하2층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,R소노문단양점,충청북도 단양군 단양읍 삼봉로 187-17 소노문 리조트(상진리) 소노문리조트 -1층,00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SBS목동신사옥점,"서울특별시 양천구 목동서로 161, S방송센터 SB 내(목동) B1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK강매주유소점,"경기도 고양시 덕양구 중앙로 316, 도내동주유소 (도내동) 1층",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,SK강화경기주유소점,"인천광역시 강화군 선원면 중앙로 233, (창리) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK고속세차주유소점,"경기도 수원시 영통구 중부대로 384, 수원고속주유소 (매탄동) 1층",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK광명삼성주유소점,"경기도 광명시 범안로 925, (하안동) 1층층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK광명제일주유소점,경기도 광명시 범안로 608 제일주유소 (노온사동) 제일주유소,00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK광명학온주유소점,경기도 광명시 광명로 627 (광명동),00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK괴정주유소점,"부산광역시 사하구 사하로 129, (괴정동) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK기린주유소점,서울특별시 영등포구 선유로52길 5 (양평동4가),00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK노원역주유소점,"서울특별시 노원구 노해로75길 20-25, (상계동)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK논현제일주유소점,"인천광역시 남동구 청능대로 460, (고잔동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK대구합천주유소점,"대구광역시 서구 염색공단천로 78, (비산동) 1층",00:00~00:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK대양충전소점,"울산광역시 북구 산업로 1454, (신천동) 1층",00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK대우셀프주유소점,서울특별시 서초구 양재대로 173 톨게이트주유소 1층,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK대자셀프주유소점,경기도 고양시 덕양구 통일로 499 대자주유소 1층,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK대호주유소점,"경기도 수원시 영통구 창룡대로 442, (이의동) 1층",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK덕양제2주유소점,경기도 고양시 일산서구 경의로 940,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK동해동방주유소점,강원도 동해시 동해대로 4912 동방주유소 (나안동),00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,SK맘모스주유소점,"충청남도 천안시 동남구 만남로 126, (신부동)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK매일주유소점,"서울특별시 강북구 삼양로 217, (미아동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK백제고분로주유소점,"서울특별시 송파구 오금로 143, (방이동) 1층",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK비전코리아주유소점,경기도 고양시 일산동구 고봉로 788 (설문동),00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK사과나무주유소점,"경기도 양주시 부흥로 1881, (광사동)",00:00~00:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK사우디제7주유소점,"경기도 고양시 일산동구 백마로 37, (장항동)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK삼성제일주유소점,"대구광역시 달서구 달구벌대로 1154, (신당동) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK삼척IC점,"강원도 삼척시 오십천로 101, (등봉동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,SK서린사옥점,"서울특별시 종로구 종로 26, SK빌딩 지하(서린동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,SK서부주유소점,"서울특별시 서대문구 성산로 255, (연희동) 1층",00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,SK서충주IC점,충청북도 충주시 신덕로 225 (신니면) 1층,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,SK세지주유소점,"경기도 시흥시 서해안로 120, (정왕동)",00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
