id,name,price,img,event,brand,category
35,롯데푸드)위편한하루150ml,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801207154884_20200729151622.png,1+1,이마트24,음료
36,태양의마테차500ml,"1,400원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094342609_20200729151621.png,1+1,이마트24,음료
37,광동)비타500로열폴리스120ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806002017990_20200729151622.png,1+1,이마트24,음료
38,롯데푸드)유기농야채농장190ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801207070368_20200729151622.png,1+1,이마트24,음료
39,롯데푸드)유기농야채농장ABC190ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801207157182_20200729151622.png,1+1,이마트24,음료
40,정관장)테이크파이브망고키위250ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8809650041829_20200729151623.png,1+1,이마트24,음료
41,정관장)테이크파이브체리피치250ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8809650041812_20200729151623.png,1+1,이마트24,음료
42,코카)환타프로즌130ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094117900_20200729151621.png,1+1,이마트24,음료
43,코카콜라)프로즌130ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094016906_20200729151621.png,1+1,이마트24,음료
44,푸르밀)가나쵸코우유300ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801123103454_20200729151622.png,1+1,이마트24,음료
45,푸르밀)검은콩이들어있는우유300ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371301614_20200729151622.png,1+1,이마트24,음료
46,해태)과일사이다딸기키위380ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801105916157_20200729151621.png,1+1,이마트24,음료
47,해태)과일사이다파인애플380ml,"1,500원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801105916133_20200729151621.png,1+1,이마트24,음료
48,마운틴듀300ml페트,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801056168797_20200729151620.png,1+1,이마트24,음료
49,스프라이트캔355ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801094203207_20200729151621.png,1+1,이마트24,음료
50,펩시콜라페트300ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801056168735_20200729151620.png,1+1,이마트24,음료
51,푸르밀)비피더스드링킹배250ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371309108_20200729151622.png,1+1,이마트24,음료
52,푸르밀)비피더스드링킹블루베리250ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371305520_20200729151622.png,1+1,이마트24,음료
53,푸르밀)비피더스드링킹사과300ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371305513_20200729151622.png,1+1,이마트24,음료
54,푸르밀)카라멜마끼아또컵200ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371305452_20200729151622.png,1+1,이마트24,음료
55,푸르밀)카페라떼컵200ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371304264_20200729151622.png,1+1,이마트24,음료
56,푸르밀)카페모카컵200ml,"1,600원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8806371304271_20200729151622.png,1+1,이마트24,음료
57,롯데)레쓰비그란데라떼500ml,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801056097899_20200729151620.png,1+1,이마트24,음료
58,롯데)아침헛개500ml,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801056051099_20200729151620.png,1+1,이마트24,음료
59,빙그레)닥터캡슐사과130ml,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801104665421_20200729151621.png,1+1,이마트24,음료
60,빙그레)닥터캡슐플레인130ml,"1,800원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fkeypage%2Fimage%2Fdss%2Fmanual%2F465%2F2020%2F0729%2FGD_8801104302739_20200729151621.png,1+1,이마트24,음료
